Name,Filter,Product,Type,Operator,Value
AZBN_ROT,AZBN_ROT,Conductor,Actions,ALL,N\A
AZBN_ROT,AZBN_ROT,Conductor,Parameters,ALL,N\A
AZBN_ROT,AZBN_ROT,Conductor,Services,Starts With,AZBN_ROT_
AZBN_ROT,AZBN_ROT,Conductor,Time Layers,ALL,N\A
AZBN_ROT,AZBN_ROT,Conductor,Time Schedules,Starts With,AZBN_ROT_
AZBN_ROT,AZBN_ROT,storm Contact,Agent Groups,Starts With,AZBN_ROT_
AZBN_ROT,AZBN_ROT,storm Contact,Agents,All,N\A
AZBN_ROT,AZBN_ROT,storm Contact,Queues,Starts With,AZBN_ROT_
AZBN_ROT,AZBN_ROT,UC,Treatments,Starts With,AZBN_ROT_
AZBN_ROT,AZBN_ROT,UC,User Groups,All,N\A
AZBN_ROT,AZBN_ROT,UC,Users,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,Conductor,Actions,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,Conductor,Parameters,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,Conductor,Services,Starts With,AZBN_ROT_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,Conductor,Time Layers,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,Conductor,Time Schedules,Starts With,AZBN_ROT_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,storm Contact,Agent Groups,Starts With,AZBN_ROT_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,storm Contact,Agents,All,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,storm Contact,Queues,Starts With,AZBN_ROT_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,UC,Treatments,Starts With,AZBN_ROT_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,UC,User Groups,All,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CLAIMS,UC,Users,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,Conductor,Actions,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,Conductor,Parameters,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,Conductor,Services,Starts With,AZBN_ROT_CCC_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,Conductor,Time Layers,ALL,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,Conductor,Time Schedules,Starts With,AZBN_ROT_CCC_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,storm Contact,Agent Groups,Starts With,AZBN_ROT_CCC_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,storm Contact,Agents,All,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,storm Contact,Queues,Starts With,AZBN_ROT_CCC_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,UC,Treatments,Starts With,AZBN_ROT_CCC_CLAIMS_
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,UC,User Groups,All,N\A
AZBN_ROT_CLAIMS,AZBN_ROT_CCC_CLAIMS,UC,Users,ALL,N\A
AZBN_ROT_SME,AZBN_ROT_SME,Conductor,Actions,ALL,N\A
AZBN_ROT_SME,AZBN_ROT_SME,Conductor,Parameters,ALL,N\A
AZBN_ROT_SME,AZBN_ROT_SME,Conductor,Services,Starts With,AZBN_ROT_SME_
